team_size,hero,wins,losses,draws,total_games,win_rate,avg_dmg_dealt,avg_dmg_received,avg_dmg_mitigated,avg_healing,avg_shielding,avg_stuns,avg_kills,avg_deaths,avg_assists,kda,avg_dmg_auto,avg_dmg_ability,avg_dmg_ultimate
1,archer,2470,4701,4038,11209,0.220359,374.398043,221.319413,11.64839,0,0,0,1.754215,2.235436,0,0.784731,308.179332,48.45416,17.76455
1,artillery,5506,1758,3877,11141,0.494211,465.605618,120.011118,6.316375,0,0,1.648236,2.383628,1.606229,0,1.48399,338.923201,39.711978,86.970439
1,assassin,5836,683,4680,11199,0.521118,459.627815,340.508805,17.753343,0,0,4.383427,2.4045,1.573533,0,1.52809,275.915975,108.168711,75.543129
1,berserker,1703,9425,0,11128,0.153037,219.360949,498.782798,84.875739,44.870845,133.730163,0,0.710101,2.135694,1.785316,1.168434,179.483379,0,39.87757
1,cleric,7252,2109,1679,11040,0.656884,340.25875,434.244223,52.613812,515.49264,0,1.154438,1.925272,0.730888,0,2.634155,340.25875,0,0
1,colossus,348,5917,4918,11183,0.031119,141.602693,570.790822,236.801463,0,0,0.581329,0.500134,1.238576,0,0.403798,114.62997,17.57072,9.402003
1,guardian,973,6945,3252,11170,0.087108,181.731898,345.781798,241.398547,0,132.189078,0.732856,0.727753,1.323993,0,0.549665,169.973474,0,11.758424
1,mage,3634,4001,3458,11093,0.327594,411.150982,233.439837,15.668474,0,0,0,2.05526,2.205715,0,0.931788,220.033129,85.621865,105.495988
1,monk,5520,686,4935,11141,0.495467,390.583354,338.720384,37.414074,25.082705,0,12.206714,2.171349,1.534692,0,1.414844,250.827051,91.113205,48.643098
1,oracle,2221,8051,666,10938,0.203054,270.75011,330.193997,24.085698,99.594076,20.860121,0,1.364418,2.298409,0,0.593636,270.75011,0,0
1,paladin,6531,3121,1285,10937,0.597147,262.190264,602.659322,198.878577,431.366462,0,0,1.247783,0.812929,0,1.534923,233.121518,0,29.068746
1,rogue,5415,769,4887,11071,0.489116,408.349177,186.062237,20.673582,0,0,4.600397,2.209647,1.515401,0,1.458127,253.65698,54.312557,100.37964
1,siren,1315,7246,2747,11308,0.116289,270.670138,255.432818,16.184042,0,0,5.391758,1.209232,2.437655,0,0.496064,253.198614,0,17.471525
1,sniper,4402,4411,2425,11238,0.391707,411.771003,173.193732,9.11546,0,0,0,2.211337,2.049564,0.02981,1.093475,314.613386,50.692968,46.464649
1,swordsman,1277,7915,1729,10921,0.116931,275.884071,353.174782,107.991269,18.558917,0,4.338064,0.95385,2.342551,0,0.407184,185.589166,59.347008,30.947897
1,valkyrie,4676,3190,3270,11136,0.419899,344.598005,422.342698,101.248676,23.848777,0,4.780172,1.660291,1.457884,0,1.138836,238.487775,71.097879,35.012352
1,warlock,7134,2097,1736,10967,0.650497,429.017218,227.491388,15.491483,62.307924,0,0.801404,2.362451,1.361174,0,1.735598,276.411586,90.924188,61.681444
1,wraith,6842,30,4308,11180,0.611986,451.198834,285.370803,16.632895,0,0,5.296243,2.465206,1.447585,0,1.702978,273.097387,95.079209,83.022238
2,archer,11457,9237,1568,22262,0.514644,547.580118,207.737943,11.044742,0,0,0,2.914877,2.076184,0.828722,1.803116,425.982823,73.381452,48.215843
2,artillery,15982,4027,2095,22104,0.723037,616.10862,100.476751,5.381392,0,0,1.747421,3.540717,1.215934,1.208514,3.90583,464.032388,44.965453,107.110779
2,assassin,8447,11985,1712,22144,0.381458,403.192657,500.393637,26.348565,0,0,4.264902,2.174133,2.486949,0.599169,1.115142,245.022049,102.106945,56.063663
2,berserker,5336,15351,1543,22230,0.240036,202.108194,570.287433,98.488498,41.710935,127.605061,0,0.522717,2.415924,2.722267,1.343165,166.843741,0,35.264453
2,cleric,17849,3222,1277,22348,0.798684,385.810118,308.215605,39.483632,604.154622,0,1.490961,2.04412,0.729282,3.983891,8.265677,385.810118,0,0
2,colossus,5442,14861,2010,22313,0.243894,117.539199,664.143834,276.087669,0,0,0.563125,0.282167,1.518935,1.013042,0.852709,91.525547,17.410251,8.603402
2,guardian,6870,13594,1822,22286,0.308265,149.8825,458.651094,277.678386,0,119.579467,0.585166,0.36588,1.644979,1.417392,1.08407,141.043166,0,8.839334
2,mage,12872,7476,1877,22225,0.579168,573.730429,198.089729,14.554822,0,0,0,3.145062,1.818223,0.985332,2.271665,305.0488,120.25209,148.429539
2,monk,9268,10882,1923,22073,0.419879,407.11683,450.967142,50.152659,27.26407,0,13.123681,1.965841,2.23386,0.79903,1.23771,272.640699,90.178195,44.297936
2,oracle,10442,9962,1809,22213,0.470085,335.803926,270.408343,22.055152,142.237519,39.160312,0,1.427182,1.833881,2.509702,2.14675,335.803926,0,0
2,paladin,9020,11413,1798,22231,0.40574,214.338926,633.984876,209.401662,362.969052,0,0,0.604966,1.548333,1.817957,1.564859,195.405316,0,18.93361
2,rogue,7368,12984,1800,22152,0.332611,321.179527,304.918054,33.975518,0,0,4.018057,1.701607,2.644366,0.75799,0.930127,216.358322,45.118082,59.703122
2,siren,8844,11454,1840,22138,0.399494,357.651583,234.903615,15.834621,0,0,8.272473,1.544719,2.138224,1.331647,1.345213,321.670589,0,35.980994
2,sniper,15953,4578,1830,22361,0.71343,633.189954,131.394489,7.048673,0,0,0,3.867493,1.473235,1.009883,3.310658,497.173645,67.453095,68.563213
2,swordsman,5516,15184,1492,22192,0.248558,252.88733,398.615994,124.980459,17.727871,0,4.012888,0.771134,2.637212,0.851253,0.61519,177.278714,51.314071,24.294545
2,valkyrie,8569,11898,1957,22424,0.382135,322.272259,547.513367,131.959051,22.82866,0,4.573671,1.330316,2.064529,1.074831,1.164985,228.286597,63.551142,30.434521
2,warlock,16091,4433,1713,22237,0.723614,610.190754,219.89356,14.855334,86.792103,0,0.872915,3.718082,1.247201,1.080676,3.847624,377.182334,139.813919,93.1945
2,wraith,8760,11545,1762,22067,0.396973,395.273495,470.312396,29.555306,0,0,4.587846,2.267458,2.470386,0.622377,1.169791,257.421135,85.180475,52.671886
3,archer,16591,14901,1721,33213,0.499533,581.733496,220.301811,11.801997,0,0,0,3.211965,2.136001,1.428567,2.172533,453.936185,76.086489,51.710823
3,artillery,23790,7582,1947,33319,0.714007,662.406768,96.028428,5.222584,0,0,1.751283,3.956211,1.09346,2.257691,5.682788,507.950259,47.890789,106.56572
3,assassin,12674,18624,1846,33144,0.382392,344.654692,533.103554,28.145745,0,0,3.906499,1.955588,2.6374,0.965937,1.107729,209.982429,93.226036,41.446227
3,berserker,9792,21688,1755,33235,0.294629,194.680912,571.249028,99.362155,40.005667,125.511659,0,0.467489,2.412697,2.888732,1.391066,160.022666,0,34.658246
3,cleric,25024,6884,1648,33556,0.745738,401.486801,291.671046,37.936755,625.902819,0,1.506914,1.873167,0.815234,5.82629,9.444473,401.486801,0,0
3,colossus,10751,20383,2013,33147,0.324343,114.568024,646.494641,269.0709,0,0,0.576794,0.199415,1.463179,1.445561,1.124247,87.143655,18.943777,8.480593
3,guardian,12331,19339,1765,33435,0.368805,143.223457,460.210568,267.864018,0,118.834874,0.607358,0.284074,1.652669,1.910633,1.327977,134.310899,0,8.912559
3,mage,19003,12701,1849,33553,0.566358,606.228396,202.156031,15.235982,0,0,0,3.390874,1.806396,1.92713,2.943986,326.667148,127.460027,152.10122
3,monk,13930,17385,1755,33070,0.421228,397.427733,470.947646,52.455555,26.842278,0,13.089265,1.814424,2.33039,1.17844,1.284276,268.422785,87.202051,41.802898
3,oracle,16691,14994,1769,33454,0.498924,351.480573,252.439186,20.819158,153.989478,43.214205,0,1.376427,1.721558,4.099121,3.180578,351.480573,0,0
3,paladin,13804,17698,1767,33269,0.414921,208.86124,620.957252,205.320543,359.681535,0,0,0.561574,1.620758,2.242658,1.730198,190.560961,0,18.30028
3,rogue,11610,20147,1787,33544,0.346113,264.298675,328.088666,36.674836,0,0,3.61558,1.42878,2.81326,1.17094,0.924095,177.177361,39.756561,47.364754
3,siren,15052,16591,1834,33477,0.449622,385.114029,219.424797,15.212936,0,0,9.287451,1.588942,1.931386,2.32494,2.026463,345.4181,0,39.695929
3,sniper,23492,8151,1735,33378,0.703817,707.806698,129.929781,7.083314,0,0,0,4.482803,1.398017,1.971269,4.616591,561.759997,73.591893,72.454808
3,swordsman,10038,21375,1680,33093,0.303327,246.862331,396.935636,125.634033,17.275421,0,4.053607,0.731242,2.598284,1.198894,0.74285,172.754208,50.147023,23.9611
3,valkyrie,13382,17924,1872,33178,0.40334,308.344388,569.60649,137.716208,22.080443,0,4.39921,1.16529,2.146272,1.47634,1.230799,220.804427,58.704384,28.835576
3,warlock,22948,8731,1677,33356,0.687972,649.373407,228.080419,15.9602,92.725237,0,0.847584,3.976286,1.275423,2.202302,4.844346,406.347702,147.267316,95.758388
3,wraith,12951,18756,1872,33579,0.385687,332.968976,505.904345,32.082215,0,0,4.030763,2.0014,2.652312,1.025909,1.141385,217.396227,75.723252,39.849497
4,archer,22343,20587,1938,44868,0.497972,585.557726,228.714301,12.336483,0,0,0,3.230721,2.171882,1.784746,2.309273,456.670041,75.893229,52.994456
4,artillery,31700,10586,1978,44264,0.716158,678.955464,94.117976,5.170357,0,0,1.764481,4.079794,1.014075,2.957098,6.939225,524.52114,49.633051,104.801273
4,assassin,17218,25182,2004,44404,0.387758,295.44339,547.462365,28.957049,0,0,3.604135,1.712008,2.701243,1.043577,1.020117,178.522475,86.842923,30.077991
4,berserker,14624,27670,2028,44322,0.329949,196.099965,552.310048,97.079363,39.948702,129.837468,0,0.485718,2.285366,2.903005,1.482792,159.794807,0,36.305158
4,cleric,31720,10953,1813,44486,0.713033,411.340744,280.734309,36.780557,636.774491,0,1.523625,1.853752,0.828171,6.475341,10.057217,411.340744,0,0
4,colossus,15743,26458,2107,44308,0.355308,116.30593,614.991252,256.358819,0,0,0.621874,0.182247,1.366277,1.588878,1.296315,86.681347,20.517366,9.107218
4,guardian,17364,25317,2035,44716,0.388317,143.900597,442.303031,254.020519,0,123.57116,0.650416,0.271625,1.560336,2.072882,1.502565,134.434196,0,9.466401
4,mage,24995,17527,1968,44490,0.561812,610.629764,206.78407,15.635108,0,0,0,3.412227,1.795122,2.5588,3.326251,329.399314,129.30053,151.929919
4,monk,18786,23418,2072,44276,0.424293,396.072296,469.708406,52.381161,26.639694,0,13.213705,1.784646,2.288802,1.264297,1.332113,266.396939,87.551394,42.123963
4,oracle,22780,19784,1974,44538,0.511473,360.55959,239.191895,19.694779,160.529301,45.647043,0,1.376151,1.631798,4.76822,3.7654,360.55959,0,0
4,paladin,18662,24030,2056,44748,0.417047,209.450104,594.976232,196.726122,368.651225,0,0,0.549365,1.546326,2.390587,1.90125,190.545251,0,18.904853
4,rogue,15885,26540,2051,44476,0.357159,223.295446,337.207198,37.774831,0,0,3.308234,1.24665,2.866602,1.271,0.87827,147.237525,36.245005,39.812916
4,siren,20712,21756,1979,44447,0.465993,398.918554,211.906696,14.868095,0,0,9.794632,1.647018,1.810471,2.78633,2.448726,356.978052,0,41.940502
4,sniper,29921,12525,1949,44395,0.673972,719.904079,136.967322,7.523269,0,0,0,4.512017,1.4446,2.573308,4.904698,574.146503,73.926289,71.831288
4,swordsman,14813,27836,1928,44577,0.332301,250.27202,386.307436,122.775525,17.291583,0,4.266191,0.758373,2.48276,1.272315,0.817916,172.915833,52.24701,25.109178
4,valkyrie,18330,23946,2147,44423,0.412624,309.288511,561.680301,136.11698,22.014482,0,4.524796,1.157756,2.085834,1.539203,1.292988,220.144816,59.401403,29.742292
4,warlock,28977,13217,1910,44104,0.657015,650.605147,239.830558,16.909196,92.809133,0,0.778138,3.943134,1.326569,2.872551,5.13783,409.388532,147.599059,93.617556
4,wraith,17451,24692,2015,44158,0.395195,284.797803,520.316455,33.086769,0,0,3.623375,1.74598,2.716337,1.129784,1.058692,183.58039,70.034437,31.182976
5,archer,27660,25687,2025,55372,0.49953,580.413691,238.373257,12.927092,0,0,0,3.217727,2.220274,2.121126,2.404592,452.168469,74.422945,53.822276
5,artillery,39626,13607,2173,55406,0.715193,700.237248,93.798417,5.209141,0,0,1.759701,4.263455,0.966538,3.601018,8.136746,544.37795,51.004659,104.854639
5,assassin,22229,31265,2152,55646,0.399472,268.648345,561.606756,29.73051,0,0,3.409068,1.602164,2.777432,1.136739,0.986128,163.211648,82.510127,22.926569
5,berserker,19421,34020,2158,55599,0.349305,198.395028,544.360823,96.245386,40.220103,131.797402,0,0.505621,2.23299,3.037914,1.586902,160.880411,0,37.514617
5,cleric,37751,15675,1919,55345,0.682103,415.723156,263.074389,34.704744,641.700696,0,1.536146,1.834673,0.82956,7.094769,10.76407,415.723156,0,0
5,colossus,20496,32787,2280,55563,0.368879,121.042006,594.939379,248.360035,0,0,0.668538,0.174955,1.300902,1.831093,1.542044,88.653546,22.678035,9.710424
5,guardian,22601,30799,2107,55507,0.407174,146.765999,429.39636,243.496948,0,127.758301,0.693354,0.257445,1.489956,2.389356,1.776429,136.809644,0,9.956355
5,mage,30523,22876,2098,55497,0.549994,599.056006,213.344093,16.151531,0,0,0,3.369299,1.827792,3.125574,3.553398,324.42021,126.584466,148.05133
5,monk,23467,29735,2082,55284,0.424481,398.501052,468.209266,52.245873,26.90943,0,13.40386,1.798658,2.270657,1.398868,1.408194,269.094301,87.20051,42.206242
5,oracle,28965,24670,2052,55687,0.520139,367.335235,225.23166,18.665085,165.005118,47.48778,0,1.399285,1.542227,5.461257,4.448464,367.335235,0,0
5,paladin,23752,29843,2059,55654,0.42678,212.230689,570.920023,188.762402,376.061559,0,0,0.538955,1.483002,2.703849,2.186648,193.044128,0,19.186561
5,rogue,20739,32783,2139,55661,0.372595,196.729741,346.705606,38.899889,0,0,3.076104,1.117766,2.94727,1.365211,0.842467,129.373413,33.503543,33.852786
5,siren,26600,26775,2111,55486,0.4794,409.554038,201.105094,14.236665,0,0,10.194121,1.707368,1.679631,3.296543,2.979173,365.846188,0,43.70785
5,sniper,37147,16598,2069,55814,0.66555,725.008655,142.17451,7.869656,0,0,0,4.553768,1.467678,3.143709,5.244662,579.064943,74.059911,71.883801
5,swordsman,19714,33836,2102,55652,0.354237,254.213416,378.86995,120.915254,17.574161,0,4.387318,0.785075,2.41118,1.446417,0.925477,175.741613,52.752474,25.719329
5,valkyrie,22992,30527,2205,55724,0.412605,309.211115,558.28543,135.676885,22.069131,0,4.567332,1.132761,2.06019,1.715132,1.382345,220.691313,58.663448,29.856354
5,warlock,34867,18654,2016,55537,0.627816,635.882441,249.630592,17.769263,90.498965,0,0.708411,3.841277,1.385365,3.445829,5.260063,401.285165,144.735714,89.861563
5,wraith,22490,30903,2173,55566,0.404744,256.466992,535.514728,33.944655,0,0,3.308894,1.605226,2.797358,1.237987,1.016392,166.268101,65.031598,25.167292
